,business_code,cust_number,clear_date,posting_date,document_create_date,document_create_date.1,due_date,currency,amount,baseline_create_date,cust_payment_terms
0,U013,140103409,2019-04-26,2019-03-18,2019-03-14,2019-03-18,2019-04-17,USD,4571.9,2019-03-18,NAVE
1,U001,200708411,2019-12-03,2019-11-13,2019-11-05,2019-11-13,2019-12-15,USD,6280.01,2019-11-13,NA32
3,U001,100014288,2019-05-11,2019-04-18,2019-04-15,2019-04-18,2019-05-03,USD,8274.0,2019-04-18,NAA8
4,U001,100031704,2019-03-05,2019-02-18,2019-02-16,2019-02-18,2019-03-05,USD,94277.77,2019-02-18,NAA8
5,U001,200779906,2019-06-28,2019-06-11,2019-06-10,2019-06-11,2019-06-26,USD,35982.65,2019-06-11,NAA8
7,U001,200744019,2019-04-16,2019-03-31,2019-03-31,2019-03-31,2019-04-15,USD,102444.46,2019-03-31,NAA8
9,U013,140103480,2019-10-07,2019-08-23,2019-08-21,2019-08-23,2019-10-07,USD,29752.32,2019-08-23,NAVF
10,U001,200705742,2019-03-18,2019-02-13,2019-02-14,2019-02-13,2019-03-17,USD,14852.89,2019-02-13,NA32
11,U001,200778355,2019-05-06,2019-04-18,2019-04-18,2019-04-18,2019-05-03,USD,37115.01,2019-04-18,NAA8
12,U001,200769623,2020-01-23,2020-01-12,2020-01-12,2020-01-12,2020-01-27,USD,3403.8,2020-01-12,NAH4
13,U001,200735528,2019-06-14,2019-04-10,2019-04-08,2019-04-10,2019-06-14,USD,75314.81,2019-04-10,NAGD
14,U001,CCCA02,2019-08-30,2019-07-11,2019-07-11,2019-07-11,2019-08-15,USD,76099.8,2019-07-11,NAG2
15,U001,200769623,2019-05-01,2019-04-21,2019-04-19,2019-04-21,2019-05-06,USD,83501.35,2019-04-21,NAH4
16,U001,200769623,2019-11-20,2019-11-10,2019-11-09,2019-11-10,2019-11-25,USD,284.44,2019-11-10,NAH4
17,CA02,140104240,2019-10-29,2019-10-06,2019-10-09,2019-10-06,2019-10-24,CAD,121093.61,2019-10-14,CA10
18,CA02,140104409,2019-07-09,2019-07-08,2019-07-08,2019-07-08,2019-07-08,CAD,22986.88,2019-06-28,CA10
19,U001,200803720,2019-09-12,2019-09-07,2019-09-07,2019-09-07,2019-09-11,USD,22835.42,2019-09-01,NAM2
20,U001,200820380,2019-05-28,2019-05-12,2019-05-11,2019-05-12,2019-05-27,USD,29899.76,2019-05-12,NAA8
22,U001,200769623,2019-05-21,2019-05-09,2019-05-09,2019-05-09,2019-05-24,USD,34931.22,2019-05-09,NAH4
24,U001,200769623,2019-02-26,2019-02-13,2019-02-13,2019-02-13,2019-02-28,USD,52818.34,2019-02-13,NAH4
25,CA02,140105686,2019-01-31,2019-01-08,2019-01-08,2019-01-08,2019-01-28,CAD,40112.75,2019-01-18,CA10
26,U001,200705742,2019-04-22,2019-04-05,2019-04-04,2019-04-05,2019-04-20,USD,18523.92,2019-04-05,NAA8
27,U001,200769623,2020-02-11,2020-01-30,2020-01-30,2020-01-30,2020-02-14,USD,1356.36,2020-01-30,NAH4
28,CA02,140106408,2019-10-24,2019-10-02,2019-10-02,2019-10-02,2019-10-19,CAD,1974.99,2019-10-09,CA10
29,U001,200353024,2019-08-07,2019-08-06,2019-08-06,2019-08-06,2019-08-11,USD,7016.82,2019-08-01,NAM2
30,U001,200769623,2019-04-15,2019-04-04,2019-04-02,2019-04-04,2019-04-19,USD,14959.4,2019-04-04,NAH4
31,U001,CCCA02,2019-11-27,2019-10-25,2019-10-24,2019-10-25,2019-11-29,USD,18748.97,2019-10-25,NAG2
32,U001,200707822,2019-03-22,2019-03-07,2019-03-07,2019-03-07,2019-03-22,USD,108351.5,2019-03-07,NAA8
34,U001,200729290,2019-05-21,2019-05-05,2019-05-05,2019-05-05,2019-05-20,USD,71991.81,2019-05-05,NAA8
